Term,Label
Motion picture,Term
Automatic document processing,Non-term
Deepfake pornography,Term
Focal impulse,Non-term
Regularization parameter,Term
Inexpensive laser pointer diode,Non-term
Holographic interference pattern,Term
N-dimensional point cloud open-source framework,Term
Ceased production display maker,Non-term
Eye tracking,Term
Generalized zero-shot learning,Term
Experimental full-color vectograph,Non-term
Building extraction,Term
Hierarchical recognition architecture,Term
Reflection-type volume hologram,Term
Medical education in-person training,Non-term
Three-dimensional video signal,Term
Corner score differential,Term
Modern traffic-sign recognition system,Term
Spatio-temporal interest point detection,Term
Intensity modulated radiation therapy,Non-term
Reconstruction mathematical description,Term
Document surface deterioration,Non-term
Statistical analysis,Non-term
Electromagnetic radiation,Non-term
Transfer function,Term
Holographic direct sound printing,Non-term
National film board,Non-term
Multi-threaded data analysis pipeline,Non-term
Holographic data storage model,Term
Rotor modulation,Non-term
Final linear map,Non-term
OCR system,Term
Board inspection,Term
Individual character,Non-term
Proprietary voxel space engine,Non-term
Velocity moment,Non-term
Real-time gesture recognition,Term
Computer vision inspection system,Term
Crystal display,Non-term
Statistical study computer vision,Term
Research group,Non-term
Off-road navigation,Non-term
Optical tracking position data,Term
Causing loss terrain roughness,Non-term
Gaussian derivative computation,Non-term
Virtual reality great painting,Non-term
Joseph Plateau,Non-term
Surface mount technology assembly line,Non-term
Hologram plate,Non-term
Numerous other electronic toll collection network,Term
Called Veronica chorographic scanner,Non-term
Hardware improvement,Non-term
Visualization environment VoreenVE,Non-term
Uniqueness question,Non-term
Business metric,Non-term
Evolutionary algorithm,Term
Surface geometry,Non-term
Microsoft,Non-term
Digital autostereographic panel,Non-term
Integrand,Non-term
Computer vision video processing,Term
Fixation point,Term
Software product,Non-term
Transmission hologram,Non-term
Image processing computer vision algorithm,Term
Digital instruction,Non-term
Intrinsic dimensionality,Non-term
Automated X-ray inspection robot,Term
Official SD,Non-term
Weight vector,Non-term
Parameter adaptivity,Non-term
Circularly polarized light,Non-term
Optical sorting implementation,Term
Issuing permit restrictive policy,Non-term
Machine vision system manufacturer,Term
CCTV camera,Term
Gaussian kernel,Term
Reference frame,Non-term
Vision transformer,Term
Combining CBIR search technique,Non-term
Premiere weekend box office earnings,Non-term
Digital image processing hardware,Term
Superellipsoid,Term
Representative United States House,Non-term
Background subtraction algorithm,Term
Presidential campaign,Non-term
Artificial intelligence-powered CCTV camera,Term
Spectra-temporal receptive field,Non-term
Characteristic function,Non-term
Computer vision community,Term
Three-dimensional computer projection,Non-term
Distance measure,Non-term
Texas instrument announced support,Non-term
Quality semiautomatic conversion,Non-term
Egocentric analysis computational technique,Term
Computer-controlled laser light source,Non-term
Exclusive virtual reality-produced film,Non-term
Conventional photography,Non-term
Kinoplastikon,Non-term
